BuildingName,BuildingAddress,BuildingType,BuildingSize,PublicSector,YearObtainedTOP_CSC,GreenMarkYearofAward,GreenMarkRating,GreenMarkStatus,GrossFloorArea_M2,PercentageOfAirconditionedFloorArea,AverageMonthlyBuildingOccupancyRate_percentage,NumberOfHotelRooms,TypeOfAirconditioningSystem,AgeOfNewestChiller_Airconditioner,CentralisedAirconditioningPlantEfficiency_kWRT,YearOfLastChillerPlantAuditHealthCheck,PercentageUsageOfLED,InstallationOfSolarPV,EUI2015_kWhM2Yr,EUI2016_kWhM2Yr,EUI2017_kWhM2Yr,EUIPerformanceComparedToPreviousYear,Benchmarking_EUI_Quartile,VoluntaryDisclosure,BuildingAge,TotalEnergy2017
SWISSOTEL MERCHANT COURT SINGAPORE,"20 MERCHANT ROAD, SINGAPORE 058281",Hotel,Large,No,1997,2013,Platinum,Yes,38054,100,90,476,Water Cooled Chilled Water Plant,2,0.62,2012,70,N,207.1,188.5,208.3,Worsened,Top Quartile,Y,21,7926648.2
TEAMBUILD CENTRE,"701 GEYLANG ROAD, SINGAPORE 389687",Office Building,Small,No,2003,,Not Certified,No,1943,95,100,,"Others (Split Units, Unitary Systems)",1,,,0,N,258.5,246.4,238.5,Improved,3rd Quartile,Y,15,463405.5
SIMS AVENUE CENTRE,"540 SIMS AVENUE, SINGAPORE 387603",Office Building,Small,No,1997,,Not Certified,No,1943,95,100,,"Others (Split Units, Unitary Systems)",6,,,0,N,210.4,202.2,180.5,Improved,2nd Quartile,Y,21,350711.5
NEX,"23 SERANGOON CENTRAL, SINGAPORE 556083",Retail Building,Large,No,2010,2014,Gold,Yes,87527,85,99,,Water Cooled Chilled Water Plant,6,0.7,2014,10,N,505,505.7,498.9,Improved,3rd Quartile,Y,8,43667220.3
RESORTS WORLD SENTOSA,"8 SENTOSA GATEWAY, SINGAPORE 098269",Retail Building,Large,No,2010,2017,Platinum,Yes,343000,67,90,1614,District Cooling Plant,8,1.2,,80,Y,525.2,506.2,493.3,Improved,3rd Quartile,Y,8,169201900
GENTING CENTRE,"3 LIM TECK KIM ROAD, SINGAPORE 088934",Office Building,Small,No,1985,,Not Certified,No,11908,77,100,,Water Cooled Chilled Water Plant,30,,,10,N,259.2,261.2,249.8,Improved,3rd Quartile,Y,33,2974618.4
GENTING HOTEL JURONG,"2 TOWN HALL LINK, SINGAPORE 608516",Hotel,Large,No,2015,2015,Platinum,Yes,19147,82,90,557,Water Cooled Chilled Water Plant,1,0.65,2016,90,N,183.3,260.9,254,Improved,2nd Quartile,Y,3,4863338
,,Hotel,Large,,,,,No,,,,,,,,,,,313.9,316.7,207.9,Improved,Top Quartile,N,,
SANDPIPER HOTEL,"63 DUNLOP STREET, SINGAPORE 209391",Hotel,Small,No,2011,,Not Certified,No,793,41,80,31,"Others (Split Units, Unitary Systems)",10,,,70,N,215.1,222.9,189.7,Improved,2nd Quartile,Y,7,150432.09999999998
,"991G ALEXANDRA ROAD, SINGAPORE 119975",Office Building,Small,No,2009,,Not Certified,No,5274,89,100,,"Others (Split Units, Unitary Systems)",9,,,0,N,229.6,214.6,174.2,Improved,2nd Quartile,Y,9,918730.7999999999
ICON@IBP,"3A INTERNATIONAL BUSINESS PARK, SINGAPORE 609935",Office Building,Large,No,2009,2009,GoldPlus,Yes,41135,85,70,,Water Cooled Chilled Water Plant,7,,,10,Y,129.2,120,106.9,Improved,Top Quartile,Y,9,4397331.5
PIL BUILDING,"140 CECIL STREET, SINGAPORE 069540",Office Building,Small,No,1981,,Not Certified,No,12656,79,92,,Water Cooled Packaged Unit,,,,1,N,287.7,303.8,285.8,Improved,Bottom Quartile,Y,37,3617084.8000000003
,,Retail Building,Large,,,,,No,,,,,,,,,,,154.1,161.5,164.5,Worsened,Top Quartile,N,,
,,Office Building,Large,,,,,No,,,,,,,,,,,189.1,191,176.5,Improved,2nd Quartile,N,,
VIP HOTEL,"5 BALMORAL CRESCENT, SINGAPORE 259895",Hotel,Small,No,1973,,Not Certified,No,3196,72,70,57,"Others (Split Units, Unitary Systems)",6,,,90,N,108.4,115.8,115.7,Improved,Top Quartile,Y,45,369777.2
KH KEA BUILDING,"333 NORTH BRIDGE ROAD, SINGAPORE 188721",Office Building,Small,No,1976,,Not Certified,No,2699,76,100,,"Others (Split Units, Unitary Systems)",7,,,0,N,452.6,498.3,473.8,Improved,Bottom Quartile,Y,42,1278786.2
,,Office Building,Small,,,,,Yes,,,,,,,,,,,140.9,142.4,137.2,Improved,2nd Quartile,N,,
,"79 ALIWAL STREET, SINGAPORE 199949",Hotel,Small,No,1997,,Not Certified,No,1130,100,40,54,"Others (Split Units, Unitary Systems)",7,,,100,N,103.9,113.9,140,Worsened,Top Quartile,Y,21,158200
NORDIC EUROPEAN CENTRE,"3 INTERNATIONAL BUSINESS PARK, SINGAPORE 609927",Office Building,Large,No,2000,,Not Certified,No,28378,98,84,,Water Cooled Chilled Water Plant,2,0.6,,75,N,163.4,142.4,118.1,Improved,Top Quartile,Y,18,3351441.8
ORIENTAL VENTURE BUILDING,"711 GEYLANG ROAD, SINGAPORE 389626",Office Building,Small,No,1995,,Not Certified,No,1939,100,100,,"Others (Split Units, Unitary Systems)",2,,,0,N,126.6,128.1,120.7,Improved,Top Quartile,Y,23,234037.30000000002
CHINATOWN POINT,"133 NEW BRIDGE ROAD, SINGAPORE 059413",Mixed Development,,No,1990,,Not Certified,No,51611,75,93,,Water Cooled Chilled Water Plant,1,0.63,2015,10,N,382.1,384.7,344.7,Improved,3rd Quartile,Y,28,17790311.7
,"80 ROBINSON ROAD, SINGAPORE 068898",Office Building,Large,No,1997,,Not Certified,No,31031,83,80,,Water Cooled Chilled Water Plant,19,,,0,N,227.5,200.9,169.9,Improved,2nd Quartile,Y,21,5272166.9
THE HEEREN,"260 ORCHARD ROAD, SINGAPORE 238855",Mixed Development,,No,1996,2015,Platinum,Yes,37226,90,99,,Water Cooled Chilled Water Plant,8,0.61,2015,65,N,333.1,318.4,305.7,Improved,3rd Quartile,Y,22,11379988.2
,"586 GEYLANG ROAD, SINGAPORE 389525",Hotel,Small,No,1998,,Not Certified,No,340,50,50,10,"Others (Split Units, Unitary Systems)",4,,,0,N,507.6,527.7,469.4,Improved,Bottom Quartile,Y,20,159596
BUDGET INN,"41 LORONG 16 GEYLANG, SINGAPORE 398877",Hotel,Small,No,1974,,Not Certified,No,592,81,70,22,Water Cooled Packaged Unit,5,,,0,N,77.6,72.8,59.3,Improved,Top Quartile,Y,44,35105.6
,,Office Building,Large,,,,,Yes,,,,,,,,,,,113.6,114.8,158.9,Worsened,2nd Quartile,N,,
NEW WORLD CENTRE,"1 JALAN BERSEH, SINGAPORE 209037",Office Building,Small,No,2000,,Not Certified,No,8625,1,95,,"Others (Split Units, Unitary Systems)",0,,,0,N,321.2,324.5,322.1,Improved,Bottom Quartile,Y,18,2778112.5
,,Hotel,Small,,,,,No,,,,,,,,,,,204.8,186.7,163.7,Improved,Top Quartile,N,,
,"81 BEACH ROAD, SINGAPORE 189692",Hotel,Small,No,1997,,Not Certified,No,2839,23,100,88,"Others (Split Units, Unitary Systems)",4,,,100,N,262,216.6,209.7,Improved,2nd Quartile,Y,21,595338.2999999999
,,Office Building,Small,,,,,No,,,,,,,,,,,167.8,160.9,164.1,Worsened,2nd Quartile,N,,
,,Mixed Development,,,,,,No,,,,,,,,,,,564.8,534.3,522.2,Improved,Bottom Quartile,N,,
PEOPLES PARK COMPLEX,"1 PARK ROAD, SINGAPORE 059108",Retail Building,Large,No,1968,,Not Certified,No,44900,45,100,,Water Cooled Chilled Water Plant,1,,,0,N,292.2,267.2,273,Worsened,2nd Quartile,Y,50,12257700
ORCHARD PLAZA,"150 ORCHARD ROAD, SINGAPORE 238841",Retail Building,Large,No,1982,2014,GoldPlus,Yes,22331,87,90,,Water Cooled Chilled Water Plant,2,0.54,2016,95,N,229.9,244.9,213.1,Improved,Top Quartile,Y,36,4758736.1
YTC BUILDING,"33 MAUDE ROAD, SINGAPORE 208344",Office Building,Small,No,1919,,Not Certified,No,1459,72,100,,"Others (Split Units, Unitary Systems)",0,,,80,N,116.1,117.5,109.6,Improved,Top Quartile,Y,99,159906.4
THE OXLEY,"9 OXLEY RISE, SINGAPORE 238697",Office Building,Small,No,1996,,Not Certified,No,7387,50,100,,"Others (Split Units, Unitary Systems)",3,,,70,N,136.7,132.9,114.1,Improved,Top Quartile,Y,22,842856.7
SUNSHINE PLAZA,"10 PRINSEP LINK, SINGAPORE 187948",Office Building,Small,No,2001,,Not Certified,No,10555,100,80,,"Others (Split Units, Unitary Systems)",15,,,0,N,811.5,783.4,790.5,Worsened,Bottom Quartile,Y,17,8343727.5
MITRAA INN,"531 SERANGOON ROAD, SINGAPORE 218163",Hotel,Small,No,2001,,Not Certified,No,975,100,70,26,"Others (Split Units, Unitary Systems)",4,,,0,N,167.9,188.3,205.1,Worsened,2nd Quartile,Y,17,199972.5
,,Office Building,Large,,,,,No,,,,,,,,,,,123.4,112.1,118.5,Worsened,Top Quartile,N,,
KAM LENG HOTEL,"383 JALAN BESAR, SINGAPORE 209001",Hotel,Small,No,2012,,Not Certified,No,1898,74,90,70,"Others (Split Units, Unitary Systems)",7,,,93,N,261.8,271.9,261.8,Improved,3rd Quartile,Y,6,496896.4
SINGAPORE FLYER,"30 RAFFLES AVENUE, SINGAPORE 039803",Retail Building,Small,No,2009,2007,Certified,Yes,13590,55,70,,Water Cooled Chilled Water Plant,9,0.95,,35,N,504.7,472,442.1,Improved,3rd Quartile,Y,9,6008139
,"9 TAMPINES GRANDE, SINGAPORE 528735",Office Building,Large,No,2009,2015,Platinum,Yes,33599,80,98,,Water Cooled Chilled Water Plant,8,0.61,2015,0,Y,182.5,181,170.4,Improved,2nd Quartile,Y,9,5725269.600000001
,"11 TAMPINES CONCOURSE, SINGAPORE 528729",Office Building,Small,No,2009,2015,GoldPlus,Yes,11520,89,95,,"Others (Split Units, Unitary Systems)",8,,,0,N,203.5,215.6,205.2,Improved,3rd Quartile,Y,9,2363904
,,Healthcare Facility,,,,,,No,,,,,,,,,,,145.6,151.7,156.1,Worsened,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,122.7,128.7,145.1,Worsened,,,,
,,Educational Institution,,,,,,Yes,,,,,,,,,,,94.5,93.8,85.9,Improved,,,,
,,Educational Institution,,,,,,No,,,,,,,,,,,87,91.6,76.9,Improved,,,,
,,Educational Institution,,,,,,Yes,,,,,,,,,,,174.5,178.5,171.3,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,334.7,343.5,344.5,Worsened,,,,
,,Healthcare Facility,,,,,,Yes,,,,,,,,,,,82.4,88.1,81.5,Improved,,,,
,,Educational Institution,,,,,,Yes,,,,,,,,,,,83.7,89.3,75.3,Improved,,,,
,,Educational Institution,,,,,,No,,,,,,,,,,,164.8,173.7,207.5,Worsened,,,,
THE SELETAR MALL,"33 SENGKANG WEST AVENUE, SINGAPORE 797653",Retail Building,Large,No,2014,2015,Gold,Yes,25380,100,100,,Water Cooled Chilled Water Plant,2,0.59,2015,85,N,617.3,634.3,603.4,Improved,Bottom Quartile,Y,4,15314292
,,Educational Institution,,,,,,No,,,,,,,,,,,105.4,103.8,90.3,Improved,,,,
,,Educational Institution,,,,,,Yes,,,,,,,,,,,83.2,84.4,80.3,Improved,,,,
,,Educational Institution,,,,,,Yes,,,,,,,,,,,147.1,152.2,138.2,Improved,,,,
,,Educational Institution,,,,,,No,,,,,,,,,,,34,36.3,31.3,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,143.4,145.3,144.4,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,301.6,291,279.2,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,241.4,254.3,232.5,Improved,,,,
,,Healthcare Facility,,,,,,Yes,,,,,,,,,,,154.3,157.3,153.6,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,126.2,134,127.9,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,211.3,220.4,215.9,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,190.8,200.7,202.1,Worsened,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,169.7,174.1,170.1,Improved,,,,
PAYA LEBAR SQUARE,"60 PAYA LEBAR ROAD, SINGAPORE 409051",Office Building,Large,No,2014,2013,GoldPlus,Yes,61153,100,93,,Water Cooled Chilled Water Plant,2,0.58,2016,19,N,180.9,230.6,243,Worsened,3rd Quartile,Y,4,14860179
SOFITEL SO SINGAPORE,"35 ROBINSON ROAD, SINGAPORE 068876",Hotel,Large,No,2014,2016,Platinum,Yes,7450,66,85,134,Water Cooled Chilled Water Plant,3,,,80,N,339.5,325.4,334.8,Worsened,Bottom Quartile,Y,4,2494260
,,Educational Institution,,,,,,Yes,,,,,,,,,,,138.7,141.4,136.5,Improved,,,,
,,Educational Institution,,,,,,Yes,,,,,,,,,,,139.3,149.7,144.5,Improved,,,,
,,Educational Institution,,,,,,Yes,,,,,,,,,,,145.4,145.4,144.4,Improved,,,,
,,Healthcare Facility,,,,,,Yes,,,,,,,,,,,282.6,294,299.9,Worsened,,,,
,,Educational Institution,,,,,,No,,,,,,,,,,,155,154.9,124,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,357.1,363.6,365.2,Worsened,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,568.1,586.6,580.2,Improved,,,,
THE TREASURY,"100 HIGH STREET, SINGAPORE 179434",Office Building,Large,Yes,2000,2017,Platinum,Yes,41499,66,100,,Water Cooled Chilled Water Plant,0,0.63,2015,4,N,154.6,152.5,141.7,Improved,Top Quartile,Y,18,5880408.3
,,Retail Building,Small,,,,,No,,,,,,,,,,,376,409.7,369.9,Improved,2nd Quartile,N,,
,,Retail Building,Large,,,,,No,,,,,,,,,,,508.4,493.3,451,Improved,3rd Quartile,N,,
NORTHPOINT SHOPPING CENTRE,"930 YISHUN AVENUE 2, SINGAPORE 769098",Retail Building,Large,No,1992,2017,Gold,Yes,34970,60,99,,Water Cooled Chilled Water Plant,9,0.71,2015,30,N,582.9,498.6,468.1,Improved,3rd Quartile,Y,26,16369457
,,Educational Institution,,,,,,Yes,,,,,,,,,,,269.7,271.3,288.3,Worsened,,,,
HOTEL MIRAMAR,"401 HAVELOCK ROAD, SINGAPORE 169631",Hotel,Large,No,1971,,Not Certified,No,23554,90,64,342,Water Cooled Chilled Water Plant,12,,,0,N,205.7,207.1,208.4,Worsened,Top Quartile,Y,47,4908653.600000001
,,Office Building,Large,,,,,No,,,,,,,,,,,148,160.5,156,Improved,2nd Quartile,N,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,36,38.8,37.2,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,354.9,377.4,365,Improved,,,,
,,Educational Institution,,,,,,Yes,,,,,,,,,,,134.4,127.8,110,Improved,,,,
GB BUILDING,"143 CECIL STREET, SINGAPORE 069542",Office Building,Large,No,1989,,Not Certified,No,17306,87,95,,Water Cooled Chilled Water Plant,15,1.05,2011,0,N,188.9,186.5,173.7,Improved,2nd Quartile,Y,29,3006052.1999999997
,,Educational Institution,,,,,,No,,,,,,,,,,,120.5,118.2,121.9,Worsened,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,264.1,254.5,226.9,Improved,,,,
,,Healthcare Facility,,,,,,Yes,,,,,,,,,,,290,298.5,311.2,Worsened,,,,
,,Educational Institution,,,,,,No,,,,,,,,,,,58.8,59.5,56.1,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,581.3,597.8,594.7,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,537.4,551.5,490.9,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,261.6,278.6,282.1,Worsened,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,148.9,155.2,151.5,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,178.9,176.7,171.4,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,92.4,141.9,142.9,Worsened,,,,
,,Office Building,Large,,,,,No,,,,,,,,,,,252.1,253.1,249.6,Improved,3rd Quartile,N,,
CONNEXION,"1 FARRER PARK STATION ROAD, SINGAPORE 217562",Retail Building,Large,No,2014,2011,Platinum,Yes,58369,85,75,245,Water Cooled Chilled Water Plant,3,0.65,,80,N,279.9,302.5,298.5,Improved,2nd Quartile,Y,4,17423146.5
HOUGANG 1,"1 HOUGANG STREET 91, SINGAPORE 538692",Retail Building,Small,No,2012,,Not Certified,No,9821,87,100,,Air Cooled Chilled Water Plant,5,,,50,N,1047.4,1075.3,1004.8,Improved,Bottom Quartile,Y,6,9868140.799999999
VILLAGE HOTEL CHANGI,"1 NETHERAVON ROAD, SINGAPORE 508502",Hotel,Large,No,2004,,Not Certified,No,22826,100,82,380,Water Cooled Chilled Water Plant,12,,,35,N,241.9,239.9,226,Improved,Top Quartile,Y,14,5158676
THE GREENWICH,"1 SELETAR ROAD, SINGAPORE 807011",Retail Building,Small,No,2011,2011,Certified,Yes,4500,97,97,,"Others (Split Units, Unitary Systems)",4,,,15,N,527.6,406.3,348.2,Improved,2nd Quartile,Y,7,1566900
ASSOCIATION BUILDING,"68 LORONG 16 GEYLANG, SINGAPORE 398889",Office Building,Small,No,1983,,Not Certified,No,396,100,60,,"Others (Split Units, Unitary Systems)",0,,,0,N,541.9,600.4,540.9,Improved,Bottom Quartile,Y,35,214196.4
OCBC TAMPINES CENTRE TWO,"31 TAMPINES AVENUE 4, SINGAPORE 529680",Office Building,Small,No,1997,2014,Gold,Yes,8946,89,100,,Water Cooled Chilled Water Plant,4,0.8,2017,5,N,268.4,274.8,281.9,Worsened,Bottom Quartile,Y,21,2521877.4
OCBC TAMPINES CENTRE ONE,"11 TAMPINES CENTRAL 1, SINGAPORE 529542",Office Building,Small,No,1999,2014,Gold,Yes,10777,83,100,,Water Cooled Chilled Water Plant,4,0.63,2017,0,N,1060.5,1067.9,834.1,Improved,Bottom Quartile,Y,19,8989095.700000001
,"30 MOSQUE STREET, SINGAPORE 059508",Hotel,Small,No,1996,,Not Certified,No,140,100,65,6,"Others (Split Units, Unitary Systems)",8,,,100,N,693.6,617,674,Worsened,Bottom Quartile,Y,22,94360
,,Hotel,Small,,,,,No,,,,,,,,,,,201.4,186.2,170.6,Improved,Top Quartile,N,,
AN CHUAN BUILDING,"27 PURVIS STREET, SINGAPORE 188604",Office Building,Small,No,1986,,Not Certified,No,1078,58,100,,"Others (Split Units, Unitary Systems)",12,,,21,N,137.4,147.1,138.4,Improved,2nd Quartile,Y,32,149195.2
,,Office Building,Large,,,,,No,,,,,,,,,,,194.1,193,184.5,Improved,2nd Quartile,N,,
,,Office Building,Small,,,,,No,,,,,,,,,,,457.6,394.3,378.4,Improved,Bottom Quartile,N,,
,,Office Building,Small,,,,,Yes,,,,,,,,,,,95.9,101.3,103.4,Worsened,Top Quartile,N,,
ASO BUILDING,"8 ROBINSON ROAD, SINGAPORE 048544",Office Building,Small,No,1991,,Not Certified,No,4550,90,90,,Air Cooled Chilled Water Plant,12,1.1,2002,0,N,176.2,176.1,165.3,Improved,2nd Quartile,Y,27,752115
,,Educational Institution,,,,,,No,,,,,,,,,,,136.5,80.9,89.2,Worsened,,,,
,,Educational Institution,,,,,,Yes,,,,,,,,,,,617.3,648,602.4,Improved,,,,
,,Office Building,Large,,,,,No,,,,,,,,,,,121,133.3,119.5,Improved,Top Quartile,N,,
,,Mixed Development,,,,,,Yes,,,,,,,,,,,284.2,284,269.4,Improved,3rd Quartile,N,,
YEW TEE SQUARE,"623 CHOA CHU KANG STREET 62, SINGAPORE 680623",Retail Building,Small,Yes,1996,,Not Certified,No,5659,37,100,,"Others (Split Units, Unitary Systems)",11,,,5,N,168.1,162.7,146.8,Improved,Top Quartile,Y,22,830741.2000000001
,"405 HAVELOCK ROAD, SINGAPORE 169633",Hotel,Large,No,1973,2017,Platinum,Yes,37570,72,83,615,Water Cooled Chilled Water Plant,3,0.6,2017,39,N,216,239.4,228.3,Improved,2nd Quartile,Y,45,8577231
,,Hotel,Large,,,,,No,,,,,,,,,,,255.4,295.4,288.4,Improved,3rd Quartile,N,,
TELOK AYER FESTIVAL MARKET,"18 RAFFLES QUAY, SINGAPORE 048582",Retail Building,Small,No,1973,,Not Certified,No,4833,4,98,,"Others (Split Units, Unitary Systems)",3,,,0,N,657.9,623.6,610.8,Improved,Bottom Quartile,Y,45,2951996.4
,,Office Building,Large,,,,,No,,,,,,,,,,,264.5,266.5,261.3,Improved,Bottom Quartile,N,,
313 @ SOMERSET,"313 ORCHARD ROAD, SINGAPORE 238895",Retail Building,Large,No,2009,2016,Platinum,Yes,39913,90,96,,Water Cooled Chilled Water Plant,7,0.63,2016,75,Y,549,535,515.5,Improved,Bottom Quartile,Y,9,20575151.5
SINGAPORE LAND TOWER,"50 RAFFLES PLACE, SINGAPORE 048623",Office Building,Large,No,1982,,Not Certified,No,64277,96,95,,Water Cooled Chilled Water Plant,2,,,2,N,321.3,279.3,269.3,Improved,Bottom Quartile,Y,36,17309796.1
CPF JURONG BUILDING,"21 JURONG GATEWAY ROAD, SINGAPORE 608546",Office Building,Small,Yes,1994,,Not Certified,No,4745,72,100,,Air Cooled Chilled Water Plant,9,,,10,N,245.6,234.8,229.5,Improved,3rd Quartile,Y,24,1088977.5
CPF BISHAN BUILDING,"3 BISHAN PLACE, SINGAPORE 579838",Office Building,Small,Yes,1997,,Not Certified,No,8060,79,100,,Air Cooled Chilled Water Plant,6,,,10,N,757.8,783.3,807.5,Worsened,Bottom Quartile,Y,21,6508450
CPF TAMPINES BUILDING,"1 TAMPINES CENTRAL 5, SINGAPORE 529508",Office Building,Large,Yes,1997,,Not Certified,No,15551,89,89,,Water Cooled Chilled Water Plant,6,,,10,N,346.7,396.7,401,Worsened,Bottom Quartile,Y,21,6235951
OG ORCHARD POINT,"160 ORCHARD ROAD, SINGAPORE 238842",Retail Building,Large,No,1990,,Not Certified,No,26671,90,100,88,Water Cooled Chilled Water Plant,14,,,40,N,216.4,212.6,179.2,Improved,Top Quartile,Y,28,4779443.199999999
OG BUILDING,"100 UPPER CROSS STREET, SINGAPORE 058360",Retail Building,Small,No,2003,,Not Certified,No,12439,92,100,,Water Cooled Chilled Water Plant,9,,,36,N,297,291.6,273.5,Improved,2nd Quartile,Y,15,3402066.5
OG ALBERT COMPLEX,"60 ALBERT STREET, SINGAPORE 189969",Mixed Development,,No,1984,2015,Gold,Yes,25724,90,100,,Water Cooled Chilled Water Plant,1,0.86,2013,42,N,207.5,204.2,188.3,Improved,Top Quartile,Y,34,4843829.2
OG ORCHARD,"228 ORCHARD ROAD, SINGAPORE 238853",Retail Building,Small,No,1982,,Not Certified,No,4117,100,100,,Water Cooled Packaged Unit,18,,,0,N,370.5,355,299.7,Improved,2nd Quartile,Y,36,1233864.9
TOKIO MARINE CENTRE,"20 MCCALLUM STREET, SINGAPORE 069046",Office Building,Small,No,2010,2008,GoldPlus,Yes,14671,90,100,,Water Cooled Chilled Water Plant,3,0.55,2013,0,N,180.6,183.7,157.2,Improved,2nd Quartile,Y,8,2306281.1999999997
FRAGRANCE BUILDING,"168 CHANGI ROAD, SINGAPORE 419730",Office Building,Small,No,2007,,Not Certified,No,1671,71,77,,"Others (Split Units, Unitary Systems)",10,,,0,N,159.2,162.9,114,Improved,Top Quartile,Y,11,190494
THE PUNGGOL SETTLEMENT,"3 PUNGGOL POINT ROAD, SINGAPORE 828694",Retail Building,Small,No,2014,,Not Certified,No,3000,57,78,,"Others (Split Units, Unitary Systems)",3,,,76,N,616.8,586.2,493,Improved,Bottom Quartile,Y,4,1479e3
,"1 RAFFLES QUAY, SINGAPORE 048583",Office Building,Large,No,2006,2016,Platinum,Yes,144109,97,100,,District Cooling Plant,7,,,26,N,275.5,282.1,274.3,Improved,Bottom Quartile,Y,12,39529098.7
,,Office Building,Large,,,,,Yes,,,,,,,,,,,130.3,128.8,123.7,Improved,Top Quartile,N,,
TAN KONG TIEN BUILDING,"87 BUKIT TIMAH ROAD, SINGAPORE 229834",Office Building,Small,No,2016,,Not Certified,No,1700,82,70,,"Others (Split Units, Unitary Systems)",4,,,0,N,48.8,49.9,46.7,Improved,Top Quartile,Y,2,79390
HIGH STREET CENTRE,"1 NORTH BRIDGE ROAD, SINGAPORE 179094",Office Building,Large,No,1976,,Not Certified,No,43000,95,90,,Water Cooled Packaged Unit,4,,,0,N,178.5,175.9,174.1,Improved,2nd Quartile,Y,42,7486300
MUSTAFA CENTRE,"145 SYED ALWI ROAD, SINGAPORE 207704",Retail Building,Large,No,1995,,Not Certified,No,23000,99,100,,Water Cooled Chilled Water Plant,5,,,50,N,873.5,849.7,784.8,Improved,Bottom Quartile,Y,23,18050400
WEST MALL,"1 BUKIT BATOK CENTRAL LINK, SINGAPORE 658713",Retail Building,Large,No,1998,2013,Gold,Yes,24182,87,100,,Water Cooled Chilled Water Plant,0,0.65,2013,75,N,489.9,478.5,471.9,Improved,3rd Quartile,Y,20,11411485.799999999
,"22 JALAN MOLEK, SINGAPORE 399541",Hotel,Small,No,1997,,Not Certified,No,702,42,48,31,"Others (Split Units, Unitary Systems)",20,0.85,,0,N,143.7,128.8,113.2,Improved,Top Quartile,Y,21,79466.40000000001
BOON SIEW BUILDING,"75 BUKIT TIMAH ROAD, SINGAPORE 229833",Office Building,Small,No,1984,,Not Certified,No,11950,75,95,,Water Cooled Chilled Water Plant,32,,,0,N,136.6,143.7,130.5,Improved,Top Quartile,Y,34,1559475
GERMAN CENTRE,"25 INTERNATIONAL BUSINESS PARK, SINGAPORE 609916",Office Building,Large,No,1994,2015,Platinum,Yes,28421,83,97,,Water Cooled Chilled Water Plant,3,0.6,2014,100,N,111.7,116.6,112.9,Improved,Top Quartile,Y,24,3208730.9000000004
ROBINSON 77,"77 ROBINSON ROAD, SINGAPORE 068896",Office Building,Large,No,1997,,Not Certified,No,35395,82,88,,Water Cooled Chilled Water Plant,20,1.08,2017,20,N,199.8,194.8,186.3,Improved,2nd Quartile,Y,21,6594088.5
ANSON HOUSE,"72 ANSON ROAD, SINGAPORE 079911",Office Building,Small,No,1998,,Not Certified,No,9673,75,90,,Air Cooled Chilled Water Plant,2,1.1,,20,N,157.7,191.8,199.5,Worsened,3rd Quartile,Y,20,1929763.5
MITSUBISHI ELECTRIC BUILDING,"307 ALEXANDRA ROAD, SINGAPORE 159943",Office Building,Large,No,1991,2014,Platinum,Yes,16654,40,100,,"Others (Split Units, Unitary Systems)",5,,,0,Y,100.1,97,94,Improved,Top Quartile,Y,27,1565476
COLD STORAGE JELITA,"293 HOLLAND ROAD, SINGAPORE 278628",Retail Building,Small,No,1980,,Not Certified,No,3508,100,100,,Water Cooled Chilled Water Plant,14,,,60,N,783.9,742.6,755.8,Worsened,Bottom Quartile,Y,38,2651346.4
,,Office Building,Small,,,,,No,,,,,,,,,,,304.1,297.8,285.6,Improved,Bottom Quartile,N,,
,"61 WESTERHOUT ROAD, SINGAPORE 397662",Hotel,Small,No,1997,,Not Certified,No,816,100,70,33,"Others (Split Units, Unitary Systems)",15,,,0,N,208.7,203.7,194.7,Improved,2nd Quartile,Y,21,158875.19999999998
,,Office Building,Large,,,,,No,,,,,,,,,,,173.2,200.7,208.9,Worsened,3rd Quartile,N,,
,"96 SOMERSET ROAD, SINGAPORE 238163",Hotel,Large,No,2008,,Not Certified,No,12401,84,90,126,Water Cooled Chilled Water Plant,9,,,90,N,265,266.1,261,Improved,2nd Quartile,Y,10,3236661
